YEARMONTH,EPISODE_ID,EVENT_ID,LOCATION_INDEX,RANGE,AZIMUTH,LOCATION,LATITUDE,LONGITUDE,LAT2,LON2
202402,187399,1150537,1,3.35,"E","WAUKENA",36.13,-119.44,367800,11926400
202402,187399,1150538,1,.4,"SE","OILDALE",35.4155,-119.0254,3524930,1191524
202402,187399,1150538,2,.41,"SE","OILDALE",35.4154,-119.0254,3524924,1191524
202402,187399,1150538,3,.4,"SE","OILDALE",35.4154,-119.0258,3524924,1191548
202402,187399,1150538,4,.39,"SE","OILDALE",35.4156,-119.0258,3524936,1191548
202402,187399,1150539,1,1.32,"WSW","KERN CITY",35.34,-119.04,3520400,1192400
202402,187399,1150539,2,1.27,"WNW","WIBLE ORCHARD",35.3382,-119.0402,3520292,1192412
202402,187399,1150539,3,1.19,"WNW","WIBLE ORCHARD",35.3383,-119.0384,3520298,1192304
202402,187399,1150539,4,1.25,"WSW","KERN CITY",35.3403,-119.0387,3520418,1192322
202402,187399,1150540,1,1.36,"SSE","OIL JCT",35.3812,-119.0431,3522872,1192586
202402,187399,1150540,2,1.34,"S","OIL JCT",35.381,-119.0458,3522860,1192748
202402,187399,1150540,3,1.01,"SSE","OIL JCT",35.3857,-119.0461,3523142,1192766
202402,187399,1150540,4,1.07,"SSE","OIL JCT",35.3854,-119.0434,3523124,1192604
202402,187399,1150541,1,1.17,"ENE","KERN JCT",35.3579,-118.9616,3521474,11857696
202402,187399,1150541,2,1.19,"ENE","KERN JCT",35.3579,-118.9613,3521474,11857678
202402,187399,1150541,3,1.18,"ENE","KERN JCT",35.3576,-118.9613,3521456,11857678
202402,187399,1150541,4,1.17,"ENE","KERN JCT",35.3577,-118.9616,3521462,11857696
202402,187399,1150542,1,.7,"ENE","BAKERSFIELD EAST",35.3721,-118.9679,3522326,11858074
202402,187399,1150542,2,.71,"ENE","BAKERSFIELD EAST",35.3725,-118.9678,3522350,11858068
202402,187399,1150542,3,.74,"ENE","BAKERSFIELD EAST",35.3725,-118.9673,3522350,11858038
202402,187399,1150542,4,.73,"E","BAKERSFIELD EAST",35.372,-118.9672,3522320,11858032
202402,187399,1150543,1,1.44,"E","KERN JCT",35.3514,-118.9545,3521084,11857270
202402,187399,1150543,2,1.9,"E","KERN JCT",35.3513,-118.9463,3521078,11856778
202402,187544,1151609,1,0,"N","BRIMFIELD",40.83,-89.88,4049800,8952800
202402,187544,1151611,1,0,"N","BRIMFIELD",40.83,-89.88,4049800,8952800
202402,187544,1151612,1,2.7,"ENE","LA PRAIRIE CENTER",41.03,-89.55,411800,8933000
202402,187544,1151613,1,0,"SE","HENRY",41.12,-89.37,417200,8922200
202402,187544,1151615,1,0,"N","BELLEVUE",40.68,-89.68,4040800,8940800
202402,187544,1151616,1,0,"N","MAPLETON",40.57,-89.73,4034200,8943800
202402,187544,1151617,1,0,"NW","METAMORA",40.78,-89.35,4046800,8921000
202402,187544,1151618,1,0,"N","ST DAVID",40.48,-90.05,4028800,903000
202402,187544,1151619,1,3,"SE","SOUTH PEKIN",40.4693,-89.6096,4028158,8936576
202402,187544,1151620,1,0,"NW","MANITO",40.42,-89.77,4025200,8946200
202402,187544,1151621,1,.52,"E","LACON",41.02,-89.39,411200,8923400
202402,187579,1151833,1,.91,"SE","ENRIGHT",30.49,-96.27,3029400,9616200
202402,187579,1151834,1,4.15,"S","CRABBS PRAIRIE",30.69,-95.67,3041400,9540200
202402,187579,1151835,1,2.73,"NE","KICKAPOO",30.81,-95.07,3048600,954200
202402,187579,1151836,1,.69,"S","RYE STATION",30.44,-94.77,3026400,9446200
202402,187579,1164478,1,2.73,"NE","KICKAPOO",30.81,-95.07,3048600,954200
202402,187579,1164480,1,4.39,"ENE","EAST SANDY",30.6,-95.51,3036000,9530600
202402,187579,1164481,1,2.83,"NNE","RICHARDS",30.57,-95.84,3034200,9550400
202402,187583,1151853,1,.81,"S","RIVER VIEW",33.2083,-87.5504,3312498,8733024
202402,187583,1151863,1,2.48,"E","OXMOOR",33.427,-86.8272,3325620,8649632
202402,187583,1151976,1,3.27,"SW","WATTSVILLE",33.6359,-86.3195,3338154,8619170
202402,187583,1151977,1,1.05,"E","HOMEWOOD",33.4808,-86.7518,3328848,8645108
202402,187726,1152784,1,2.27,"ESE","CHESTER",37.8897,-89.7805,3753382,8946830
202402,187735,1152908,1,.86,"SE","TEMPLE HILL",42.22,-90.97,4213200,9058200
202402,187735,1152909,1,2.16,"WNW","OTTER CREEK",42.24,-90.72,4214400,9043200
202402,187735,1152910,1,.52,"E","BLUE GRASS",41.52,-90.76,4131200,9045600
