YEARMONTH,EPISODE_ID,EVENT_ID,LOCATION_INDEX,RANGE,AZIMUTH,LOCATION,LATITUDE,LONGITUDE,LAT2,LON2
202303,176742,1074014,1,2.07,"N","ABERNATHY ARPT",35.18,-87.05,3510800,873000
202303,176742,1074015,1,1.49,"SSW","PROSPECT",35.01,-87.01,35600,87600
202303,176742,1074016,1,1.67,"W","NASHVILLE",36.17,-86.81,3610200,8648600
202303,176742,1074017,1,.45,"ENE","GOODLETTSVILLE",36.322,-86.7123,3619320,8642738
202303,176742,1074018,1,2.19,"SSW","MILLERSVILLE",36.3394,-86.71,3620364,8642600
202303,176742,1074019,1,0,"N","GOODLETTSVILLE",36.32,-86.72,3619200,8643200
202303,176742,1074020,1,3.41,"SSW","CORNERSVILLE",35.3231,-86.8688,3519386,8652128
202303,176742,1074021,1,.89,"NW","JEFFERSON",35.99,-86.48,3559400,8628800
202303,176742,1074022,1,.56,"W","IVY BLUFF",35.67,-86.06,3540200,863600
202303,176742,1074023,1,.56,"E","MONTEREY",36.15,-85.26,369000,8515600
202303,176742,1074024,1,2.11,"N","GUM SPGS",35.2305,-87.2981,3513830,8717886
202306,179322,1092208,1,0,"N","BUOY 41009",28.52,-80.17,2831200,8010200
202306,179380,1092523,1,2.1,"NW","UPPER ARLINGTON",40.05,-83.1,403000,836000
202306,179380,1092524,1,1.55,"W","UPPER ARLINGTON",40.0261,-83.0989,401566,835934
202306,179380,1104760,1,1.36,"S","WAYNESFIELD",40.5805,-83.9777,4034830,8358662
202306,179382,1092538,1,4.19,"W","(ASE)ASPEN ARPT",39.2107,-106.9474,3912642,10656844
202306,179382,1092538,2,4.2,"W","(ASE)ASPEN ARPT",39.2105,-106.9475,3912630,10656850
202306,179382,1092538,3,4.23,"W","(ASE)ASPEN ARPT",39.2105,-106.948,3912630,10656880
202306,179382,1092538,4,4.21,"W","(ASE)ASPEN ARPT",39.2107,-106.9478,3912642,10656868
202306,179396,1092584,1,.91,"NW","COLLEGE STATION",30.61,-96.34,3036600,9620400
202306,179396,1092585,1,0,"N","(CLL)EASTERWD FLD CO",30.58,-96.37,3034800,9622200
202306,179396,1092586,1,3.29,"NNE","WELLBORN",30.57,-96.27,3034200,9616200
202306,179396,1092587,1,.91,"NW","COLLEGE STATION",30.61,-96.34,3036600,9620400
202306,179396,1092588,1,.91,"NW","IOLA",30.78,-96.09,3046800,965400
202306,179396,1092589,1,2.26,"NE","COLLEGE STATION",30.62,-96.3,3037200,9618000
202306,179396,1092590,1,3.15,"NE","HARVEY",30.68,-96.24,3040800,9614400
202306,179396,1092592,1,.59,"E","BRYAN",30.67,-96.36,3040200,9621600
202306,179396,1092593,1,1.92,"WSW","WHITE HALL",30.29,-96,3017400,9600
202306,179396,1092594,1,0,"N","ANDERSON",30.48,-95.98,3028800,9558800
